argomento,codice,domanda,opzione_a,opzione_b,opzione_c,opzione_d,corretta,riferimento
Primo Soccorso,PS108,"Scenario ostruzione: quale tra le seguenti affermazioni è corretta? Nella donna in gravidanza avanzata con ostruzione grave, le spinte addominali sono sostituite da?",Nessuna manovra,Spinte toraciche,Compressioni sulle gambe,Massaggio del collo,B,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS109,"Nella persona molto obesa, se non si può circondare l’addome, si possono usare?",Compressioni lombari,Solo ventilazioni,Spinte toraciche,Trazioni delle orecchie,C,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS110,"Scenario ostruzione: quale tra le seguenti affermazioni è corretta? Nella persona molto obesa, se non si può circondare l’addome, si possono usare?",Spinte toraciche,Trazioni delle orecchie,Compressioni lombari,Solo ventilazioni,A,"ERC Guidelines 2025, Adult BLS"
Primo Soccorso,PS111,Qual è la prima misura per un’emorragia esterna importante?,Applicare calore,Pressione manuale diretta sulla ferita,Lavaggio prolungato senza compressione,Sollevare sempre la persona in piedi,B,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS112,Scenario emorragie: quale tra le seguenti affermazioni è corretta? Qual è la prima misura per un’emorragia esterna importante?,Lavaggio prolungato senza compressione,Sollevare sempre la persona in piedi,Applicare calore,Pressione manuale diretta sulla ferita,D,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS113,"Se disponibile, cosa si interpone sulla ferita mentre si comprime?",Garza o materiale pulito,Terra sterile improvvisata,Carta stampata sporca,Cotone sciolto dentro la ferita,A,INAIL 2018; ERC Guidelines 2025
Primo Soccorso,PS114,"Scenario emorragie: quale tra le seguenti affermazioni è corretta? Se disponibile, cosa si interpone sulla ferita mentre si comprime?",Carta stampata sporca,Cotone sciolto dentro la ferita,Garza o materiale pulito,Terra sterile improvvisata,C,INAIL 2018; ERC Guidelines 2025
Primo Soccorso,PS115,"Se la prima medicazione si impregna di sangue, cosa fare?",Rimuoverla continuamente,Interrompere la compressione,Lavare con solvente,Aggiungere altro materiale sopra continuando la pressione,D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS116,"Scenario emorragie: quale tra le seguenti affermazioni è corretta? Se la prima medicazione si impregna di sangue, cosa fare?",Lavare con solvente,Aggiungere altro materiale sopra continuando la pressione,Rimuoverla continuamente,Interrompere la compressione,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS117,Un oggetto conficcato in una ferita deve essere?,Spinto più in profondità,Ruotato per controllare il dolore,Lasciato in sede e stabilizzato,Estratto immediatamente,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS118,Scenario emorragie: quale tra le seguenti affermazioni è corretta? Un oggetto conficcato in una ferita deve essere?,Lasciato in sede e stabilizzato,Estratto immediatamente,Spinto più in profondità,Ruotato per controllare il dolore,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS119,Quando può essere considerato un tourniquet?,Sul collo,"In un’emorragia massiva di un arto non controllabile con pressione diretta, se addestrati",Per ogni piccolo taglio,Per un’emorragia nasale,B,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS120,Scenario emorragie: quale tra le seguenti affermazioni è corretta? Quando può essere considerato un tourniquet?,Per ogni piccolo taglio,Per un’emorragia nasale,Sul collo,"In un’emorragia massiva di un arto non controllabile con pressione diretta, se addestrati",D,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS121,Dopo l’applicazione di un tourniquet è importante cosa?,Annotare l’ora e non allentarlo autonomamente,Coprirlo per non farlo vedere,Allentarlo ogni minuto,Rimuoverlo appena cala il dolore,A,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS122,Scenario emorragie: quale tra le seguenti affermazioni è corretta? Dopo l’applicazione di un tourniquet è importante cosa?,Allentarlo ogni minuto,Rimuoverlo appena cala il dolore,Annotare l’ora e non allentarlo autonomamente,Coprirlo per non farlo vedere,C,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS123,Quale combinazione può suggerire shock?,Appetito e pelle calda normale,Prurito isolato,Dolore a un’unghia,"Pallore, sudorazione, debolezza e alterazione dello stato mentale",D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS124,Scenario emorragie: quale tra le seguenti affermazioni è corretta? Quale combinazione può suggerire shock?,Dolore a un’unghia,"Pallore, sudorazione, debolezza e alterazione dello stato mentale",Appetito e pelle calda normale,Prurito isolato,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS125,"In caso di sospetto shock, oltre ad allertare i soccorsi, cosa è corretto?",Darle alcolici,Lasciarla sola,"Tenere la persona al riparo, monitorarla e non darle cibi o bevande",Farla camminare velocemente,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS126,"Scenario emorragie: quale tra le seguenti affermazioni è corretta? In caso di sospetto shock, oltre ad allertare i soccorsi, cosa è corretto?","Tenere la persona al riparo, monitorarla e non darle cibi o bevande",Farla camminare velocemente,Darle alcolici,Lasciarla sola,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS127,"Per un’epistassi in una persona cosciente, quale posizione è indicata?",In piedi con testa molto indietro,"Seduta, leggermente inclinata in avanti",Supina con testa all’indietro,Prona,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS128,"Scenario emorragie: quale tra le seguenti affermazioni è corretta? Per un’epistassi in una persona cosciente, quale posizione è indicata?",Supina con testa all’indietro,Prona,In piedi con testa molto indietro,"Seduta, leggermente inclinata in avanti",D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS129,"Nell’epistassi, quale parte del naso si comprime?",La parte molle delle narici,Il ponte osseo soltanto,La fronte,Il collo,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS130,"Scenario emorragie: quale tra le seguenti affermazioni è corretta? Nell’epistassi, quale parte del naso si comprime?",La fronte,Il collo,La parte molle delle narici,Il ponte osseo soltanto,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS131,Una persona con possibile trauma della colonna va spostata quando?,Sempre per farla sedere,Per cercare una posizione più comoda,Ogni cinque minuti,"Solo se necessario per sicurezza, RCP o gestione di un pericolo immediato",D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS132,Scenario traumi: quale tra le seguenti affermazioni è corretta? Una persona con possibile trauma della colonna va spostata quando?,Ogni cinque minuti,"Solo se necessario per sicurezza, RCP o gestione di un pericolo immediato",Sempre per farla sedere,Per cercare una posizione più comoda,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS133,"In un sospetto trauma cranico con sonnolenza, vomito o confusione cosa fare?",Far riprendere subito il lavoro,Lasciare la persona sola a dormire,Attivare urgentemente i soccorsi e monitorare,Dare cibo,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS134,"Scenario traumi: quale tra le seguenti affermazioni è corretta? In un sospetto trauma cranico con sonnolenza, vomito o confusione cosa fare?",Attivare urgentemente i soccorsi e monitorare,Dare cibo,Far riprendere subito il lavoro,Lasciare la persona sola a dormire,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS135,Una deformità evidente di un arto deve essere?,Riscaldata con fiamma,Immobilizzata nella posizione trovata senza tentare riallineamenti,Raddrizzata con forza,Massaggiata energicamente,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS136,Scenario traumi: quale tra le seguenti affermazioni è corretta? Una deformità evidente di un arto deve essere?,Raddrizzata con forza,Massaggiata energicamente,Riscaldata con fiamma,Immobilizzata nella posizione trovata senza tentare riallineamenti,D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS137,Prima e dopo un’immobilizzazione di un arto è utile controllare cosa?,"Circolo, sensibilità e movimento distali",Solo la temperatura dell’ambiente,Il gruppo sanguigno,La pressione dell’altro soccorritore,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS138,Scenario traumi: quale tra le seguenti affermazioni è corretta? Prima e dopo un’immobilizzazione di un arto è utile controllare cosa?,Il gruppo sanguigno,La pressione dell’altro soccorritore,"Circolo, sensibilità e movimento distali",Solo la temperatura dell’ambiente,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS139,"In caso di amputazione, la parte amputata va conservata come?",Direttamente nel ghiaccio,In acqua calda,Senza protezione al sole,"Avvolta in materiale pulito, in sacchetto chiuso, raffreddato senza contatto diretto col ghiaccio",D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS140,"Scenario traumi: quale tra le seguenti affermazioni è corretta? In caso di amputazione, la parte amputata va conservata come?",Senza protezione al sole,"Avvolta in materiale pulito, in sacchetto chiuso, raffreddato senza contatto diretto col ghiaccio",Direttamente nel ghiaccio,In acqua calda,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS141,"In caso di sospetta frattura esposta, cosa non bisogna fare?",Controllare l’emorragia intorno alla lesione,Allertare i soccorsi,Spingere l’osso all’interno,Coprire con materiale sterile,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS142,"Scenario traumi: quale tra le seguenti affermazioni è corretta? In caso di sospetta frattura esposta, cosa non bisogna fare?",Spingere l’osso all’interno,Coprire con materiale sterile,Controllare l’emorragia intorno alla lesione,Allertare i soccorsi,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS143,"Dopo una caduta dall’alto, anche se la persona parla, è importante cosa?",Farle guidare fino a casa,Considerare possibili lesioni interne e spinali,Farla alzare subito,Darle antidolorifici propri,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS144,"Scenario traumi: quale tra le seguenti affermazioni è corretta? Dopo una caduta dall’alto, anche se la persona parla, è importante cosa?",Farla alzare subito,Darle antidolorifici propri,Farle guidare fino a casa,Considerare possibili lesioni interne e spinali,D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS145,"In caso di trauma toracico con difficoltà respiratoria, cosa fare?",Chiamare subito i soccorsi e monitorare il respiro,Stringere fortemente il torace con una corda,Dare cibo,Far correre la persona,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS146,"Scenario traumi: quale tra le seguenti affermazioni è corretta? In caso di trauma toracico con difficoltà respiratoria, cosa fare?",Dare cibo,Far correre la persona,Chiamare subito i soccorsi e monitorare il respiro,Stringere fortemente il torace con una corda,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS147,Una lesione oculare con corpo penetrante richiede cosa?,Estrarre l’oggetto con pinze,Premere sull’occhio,Applicare collirio casuale,"Non rimuovere l’oggetto, proteggere senza comprimere e attivare i soccorsi",D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS148,Scenario traumi: quale tra le seguenti affermazioni è corretta? Una lesione oculare con corpo penetrante richiede cosa?,Applicare collirio casuale,"Non rimuovere l’oggetto, proteggere senza comprimere e attivare i soccorsi",Estrarre l’oggetto con pinze,Premere sull’occhio,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS149,"In presenza di polvere superficiale nell’occhio, quale primo intervento è appropriato?",Usare solvente,Coprire entrambi gli occhi per ore senza valutazione,Irrigare delicatamente con acqua pulita o soluzione fisiologica,Strofinare con forza,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS150,"Scenario traumi: quale tra le seguenti affermazioni è corretta? In presenza di polvere superficiale nell’occhio, quale primo intervento è appropriato?",Irrigare delicatamente con acqua pulita o soluzione fisiologica,Strofinare con forza,Usare solvente,Coprire entrambi gli occhi per ore senza valutazione,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS151,Qual è il primo trattamento di un’ustione termica recente?,Rompere le vesciche,Raffreddare con acqua corrente fresca,Applicare ghiaccio direttamente,Spalmare burro,B,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS152,Scenario ustioni: quale tra le seguenti affermazioni è corretta? Qual è il primo trattamento di un’ustione termica recente?,Applicare ghiaccio direttamente,Spalmare burro,Rompere le vesciche,Raffreddare con acqua corrente fresca,D,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS153,Per quanto tempo va raffreddata indicativamente un’ustione termica?,Circa 20 minuti,30 secondi,Due ore con ghiaccio,Finché la pelle diventa insensibile,A,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS154,Scenario ustioni: quale tra le seguenti affermazioni è corretta? Per quanto tempo va raffreddata indicativamente un’ustione termica?,Due ore con ghiaccio,Finché la pelle diventa insensibile,Circa 20 minuti,30 secondi,C,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS155,"Cosa va rimosso presto vicino a una zona ustionata, se non aderente?",Tessuto fuso aderente,Pelle lesionata,Qualsiasi medicazione sterile,"Anelli, orologi e indumenti non attaccati",D,INAIL 2018; ERC Guidelines 2025
Primo Soccorso,PS156,"Scenario ustioni: quale tra le seguenti affermazioni è corretta? Cosa va rimosso presto vicino a una zona ustionata, se non aderente?",Qualsiasi medicazione sterile,"Anelli, orologi e indumenti non attaccati",Tessuto fuso aderente,Pelle lesionata,B,INAIL 2018; ERC Guidelines 2025
Primo Soccorso,PS157,Come si copre un’ustione dopo il raffreddamento?,Con dentifricio,Con terra umida,Con medicazione sterile non aderente o pellicola pulita adatta,Con cotone incollato,C,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS158,Scenario ustioni: quale tra le seguenti affermazioni è corretta? Come si copre un’ustione dopo il raffreddamento?,Con medicazione sterile non aderente o pellicola pulita adatta,Con cotone incollato,Con dentifricio,Con terra umida,A,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS159,"In un’ustione chimica cutanea, dopo aver protetto il soccorritore, cosa fare?",Massaggiare la zona,Rimuovere il contaminante e irrigare abbondantemente secondo la sostanza,Neutralizzare sempre con un’altra sostanza,Applicare ghiaccio,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS160,"Scenario ustioni: quale tra le seguenti affermazioni è corretta? In un’ustione chimica cutanea, dopo aver protetto il soccorritore, cosa fare?",Neutralizzare sempre con un’altra sostanza,Applicare ghiaccio,Massaggiare la zona,Rimuovere il contaminante e irrigare abbondantemente secondo la sostanza,D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS161,Una sostanza chimica in polvere sulla cute va inizialmente?,"Spazzolata via con cautela prima dell’irrigazione, se appropriato",Bagnata senza rimuoverla mai,Strofinata a mani nude,Coperta con crema,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS162,Scenario ustioni: quale tra le seguenti affermazioni è corretta? Una sostanza chimica in polvere sulla cute va inizialmente?,Strofinata a mani nude,Coperta con crema,"Spazzolata via con cautela prima dell’irrigazione, se appropriato",Bagnata senza rimuoverla mai,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS163,"In caso di sostanza chimica nell’occhio, cosa fare?",Tenere l’occhio chiuso senza lavare,Usare collirio anestetico non prescritto,Neutralizzare con aceto,"Irrigare immediatamente e a lungo, evitando di contaminare l’altro occhio",D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS164,"Scenario ustioni: quale tra le seguenti affermazioni è corretta? In caso di sostanza chimica nell’occhio, cosa fare?",Neutralizzare con aceto,"Irrigare immediatamente e a lungo, evitando di contaminare l’altro occhio",Tenere l’occhio chiuso senza lavare,Usare collirio anestetico non prescritto,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS165,Una persona folgorata può essere toccata subito?,Solo se è cosciente,"Sì, afferrandola dai polsi",Solo dopo aver interrotto o reso sicura la fonte elettrica,"Sì, sempre a mani nude",C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS166,Scenario ustioni: quale tra le seguenti affermazioni è corretta? Una persona folgorata può essere toccata subito?,Solo dopo aver interrotto o reso sicura la fonte elettrica,"Sì, sempre a mani nude",Solo se è cosciente,"Sì, afferrandola dai polsi",A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS167,"Dopo una folgorazione, quale rischio va sempre considerato?",Nessun rischio se non ci sono fiamme,Alterazioni cardiache e lesioni interne,Solo una piccola irritazione cutanea,Esclusivamente febbre,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS168,"Scenario ustioni: quale tra le seguenti affermazioni è corretta? Dopo una folgorazione, quale rischio va sempre considerato?",Solo una piccola irritazione cutanea,Esclusivamente febbre,Nessun rischio se non ci sono fiamme,Alterazioni cardiache e lesioni interne,D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS169,Quali ustioni richiedono valutazione urgente?,"Ustioni estese, profonde, elettriche, chimiche o in sedi critiche",Solo arrossamenti minimi,Esclusivamente ustioni solari lievi,Nessuna se il dolore è modesto,A,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS170,Scenario ustioni: quale tra le seguenti affermazioni è corretta? Quali ustioni richiedono valutazione urgente?,Esclusivamente ustioni solari lievi,Nessuna se il dolore è modesto,"Ustioni estese, profonde, elettriche, chimiche o in sedi critiche",Solo arrossamenti minimi,C,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS171,"Davanti a dolore toracico sospetto per infarto, cosa bisogna fare?",Far guidare la persona in ospedale,Farle fare esercizio,Aspettare che passi per ore,Attivare subito il 112/118 e far riposare la persona,D,"Ministero della Salute; ERC Guidelines 2025, First Aid"
Primo Soccorso,PS172,"Scenario malori: quale tra le seguenti affermazioni è corretta? Davanti a dolore toracico sospetto per infarto, cosa bisogna fare?",Aspettare che passi per ore,Attivare subito il 112/118 e far riposare la persona,Far guidare la persona in ospedale,Farle fare esercizio,B,"Ministero della Salute; ERC Guidelines 2025, First Aid"
Primo Soccorso,PS173,Quale insieme di segni può indicare un ictus?,Dolore isolato al tallone,Singhiozzo dopo un pasto,"Bocca storta, debolezza di un braccio e difficoltà nel parlare",Prurito a entrambe le mani,C,"Ministero della Salute, riconoscere l’ictus"
Primo Soccorso,PS174,Scenario malori: quale tra le seguenti affermazioni è corretta? Quale insieme di segni può indicare un ictus?,"Bocca storta, debolezza di un braccio e difficoltà nel parlare",Prurito a entrambe le mani,Dolore isolato al tallone,Singhiozzo dopo un pasto,A,"Ministero della Salute, riconoscere l’ictus"
Primo Soccorso,PS175,In presenza di segni di ictus cosa è essenziale annotare?,Il nome del farmacista,L’ora di esordio o l’ultima volta vista bene,Il numero di scarpe,L’ultimo pasto soltanto,B,"Ministero della Salute, riconoscere l’ictus"
Primo Soccorso,PS176,Scenario malori: quale tra le seguenti affermazioni è corretta? In presenza di segni di ictus cosa è essenziale annotare?,Il numero di scarpe,L’ultimo pasto soltanto,Il nome del farmacista,L’ora di esordio o l’ultima volta vista bene,D,"Ministero della Salute, riconoscere l’ictus"
Primo Soccorso,PS177,"In caso di sospetto ictus, quale trasporto è raccomandato?",Attivazione 112/118 per invio al centro idoneo,Auto privata guidata dalla persona,Trasporto pubblico,Attendere il giorno successivo,A,"Ministero della Salute, riconoscere l’ictus"
Primo Soccorso,PS178,"Scenario malori: quale tra le seguenti affermazioni è corretta? In caso di sospetto ictus, quale trasporto è raccomandato?",Trasporto pubblico,Attendere il giorno successivo,Attivazione 112/118 per invio al centro idoneo,Auto privata guidata dalla persona,C,"Ministero della Salute, riconoscere l’ictus"
Primo Soccorso,PS179,Durante una crisi convulsiva cosa bisogna fare?,Bloccare con forza gli arti,Inserire un oggetto in bocca,Dare acqua durante le scosse,Proteggere la persona da urti e liberare lo spazio,D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS180,Scenario malori: quale tra le seguenti affermazioni è corretta? Durante una crisi convulsiva cosa bisogna fare?,Dare acqua durante le scosse,Proteggere la persona da urti e liberare lo spazio,Bloccare con forza gli arti,Inserire un oggetto in bocca,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS181,Durante una convulsione è corretto mettere qualcosa tra i denti?,"Sì, le dita","Sì, una compressa",No,"Sì, un oggetto rigido",C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS182,Scenario malori: quale tra le seguenti affermazioni è corretta? Durante una convulsione è corretto mettere qualcosa tra i denti?,No,"Sì, un oggetto rigido","Sì, le dita","Sì, una compressa",A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS183,"Dopo la fine delle convulsioni, se la persona respira ma non è pienamente cosciente, cosa fare?",Lasciarla sola,"Proteggere le vie aeree, porla sul fianco se appropriato e monitorare",Farla camminare,Darle subito da bere,B,INAIL 2018; ERC Guidelines 2025
Primo Soccorso,PS184,"Scenario malori: quale tra le seguenti affermazioni è corretta? Dopo la fine delle convulsioni, se la persona respira ma non è pienamente cosciente, cosa fare?",Farla camminare,Darle subito da bere,Lasciarla sola,"Proteggere le vie aeree, porla sul fianco se appropriato e monitorare",D,INAIL 2018; ERC Guidelines 2025
Primo Soccorso,PS185,Quando una crisi convulsiva richiede chiamata urgente?,"Se è prolungata, si ripete, è la prima, vi sono traumi o difficoltà respiratorie",Solo se avviene di notte,Mai,Solo se la persona lo chiede durante la crisi,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS186,Scenario malori: quale tra le seguenti affermazioni è corretta? Quando una crisi convulsiva richiede chiamata urgente?,Mai,Solo se la persona lo chiede durante la crisi,"Se è prolungata, si ripete, è la prima, vi sono traumi o difficoltà respiratorie",Solo se avviene di notte,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS187,Una persona diabetica cosciente con sospetta ipoglicemia e capace di deglutire può ricevere?,Insulina aggiuntiva scelta dal soccorritore,Alcol,Solo acqua senza zucchero,Zucchero o bevanda zuccherata,D,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS188,Scenario malori: quale tra le seguenti affermazioni è corretta? Una persona diabetica cosciente con sospetta ipoglicemia e capace di deglutire può ricevere?,Solo acqua senza zucchero,Zucchero o bevanda zuccherata,Insulina aggiuntiva scelta dal soccorritore,Alcol,B,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS189,A una persona incosciente con sospetta ipoglicemia si deve dare cibo o bevande per bocca?,Solo caffè,Solo cibi solidi,No,"Sì, sempre",C,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS190,Scenario malori: quale tra le seguenti affermazioni è corretta? A una persona incosciente con sospetta ipoglicemia si deve dare cibo o bevande per bocca?,No,"Sì, sempre",Solo caffè,Solo cibi solidi,A,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS191,"In caso di svenimento semplice, se non vi sono traumi e la persona respira, cosa è corretto?",Darle farmaci,"Adagiarla, favorire il recupero e monitorarla",Tenerla in piedi,Schiaffeggiarla,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS192,"Scenario malori: quale tra le seguenti affermazioni è corretta? In caso di svenimento semplice, se non vi sono traumi e la persona respira, cosa è corretto?",Tenerla in piedi,Schiaffeggiarla,Darle farmaci,"Adagiarla, favorire il recupero e monitorarla",D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS193,"Se una persona svenuta non recupera rapidamente o ha respiro anomalo, cosa fare?",Attivare l’emergenza e valutare la necessità di RCP,Darle da bere,Farle fare una doccia,Lasciarla dormire da sola,A,INAIL 2018; ERC Guidelines 2025
Primo Soccorso,PS194,"Scenario malori: quale tra le seguenti affermazioni è corretta? Se una persona svenuta non recupera rapidamente o ha respiro anomalo, cosa fare?",Farle fare una doccia,Lasciarla dormire da sola,Attivare l’emergenza e valutare la necessità di RCP,Darle da bere,C,INAIL 2018; ERC Guidelines 2025
Primo Soccorso,PS195,"In una reazione allergica grave con difficoltà respiratoria e gonfiore, cosa fare?",Dare solo acqua,Aspettare un’ora,Far camminare velocemente,Chiamare subito il 112/118 e aiutare con l’auto-iniettore prescritto se addestrati,D,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS196,"Scenario malori: quale tra le seguenti affermazioni è corretta? In una reazione allergica grave con difficoltà respiratoria e gonfiore, cosa fare?",Far camminare velocemente,Chiamare subito il 112/118 e aiutare con l’auto-iniettore prescritto se addestrati,Dare solo acqua,Aspettare un’ora,B,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS197,Dopo l’uso dell’auto-iniettore di adrenalina è ancora necessario chiamare i soccorsi?,Solo il giorno dopo,Solo se il dispositivo è scaduto,Sì,"No, mai",C,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS198,Scenario malori: quale tra le seguenti affermazioni è corretta? Dopo l’uso dell’auto-iniettore di adrenalina è ancora necessario chiamare i soccorsi?,Sì,"No, mai",Solo il giorno dopo,Solo se il dispositivo è scaduto,A,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS199,"In caso di crisi asmatica, come si può aiutare una persona cosciente?",Farla correre,Favorire la posizione comoda e aiutarla a usare il proprio inalatore prescritto,Obbligarla a sdraiarsi supina,Darle un farmaco di un collega,B,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS200,"Scenario malori: quale tra le seguenti affermazioni è corretta? In caso di crisi asmatica, come si può aiutare una persona cosciente?",Obbligarla a sdraiarsi supina,Darle un farmaco di un collega,Farla correre,Favorire la posizione comoda e aiutarla a usare il proprio inalatore prescritto,D,"ERC Guidelines 2025, First Aid"
Primo Soccorso,PS201,"In caso di sospetta intossicazione, prima di intervenire cosa bisogna fare?",Proteggersi dall’esposizione e identificare sostanza e via di contatto,Assaggiare la sostanza,Indurre sempre il vomito,Entrare senza DPI,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS202,"Scenario ambiente-intossicazioni: quale tra le seguenti affermazioni è corretta? In caso di sospetta intossicazione, prima di intervenire cosa bisogna fare?",Indurre sempre il vomito,Entrare senza DPI,Proteggersi dall’esposizione e identificare sostanza e via di contatto,Assaggiare la sostanza,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS203,È corretto indurre il vomito dopo ingestione di una sostanza tossica?,"Sì, sempre",Solo con acqua salata,Solo se la sostanza è corrosiva,"No, salvo precisa indicazione del centro antiveleni o dei sanitari",D,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS204,Scenario ambiente-intossicazioni: quale tra le seguenti affermazioni è corretta? È corretto indurre il vomito dopo ingestione di una sostanza tossica?,Solo se la sostanza è corrosiva,"No, salvo precisa indicazione del centro antiveleni o dei sanitari","Sì, sempre",Solo con acqua salata,B,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS205,Quale informazione è utile conservare per i sanitari in caso di intossicazione?,Il registro presenze soltanto,La marca della cassetta,"Etichetta, confezione o scheda di sicurezza della sostanza",Solo il colore degli abiti,C,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
Primo Soccorso,PS206,Scenario ambiente-intossicazioni: quale tra le seguenti affermazioni è corretta? Quale informazione è utile conservare per i sanitari in caso di intossicazione?,"Etichetta, confezione o scheda di sicurezza della sostanza",Solo il colore degli abiti,Il registro presenze soltanto,La marca della cassetta,A,"INAIL, Primo soccorso nei luoghi di lavoro, 2018"
